,city_id,City,Country,temperature,humidity,cloudiness,wind_speed,latitude,longtitude
91,91,bella vista,US,22.11,63.0,0.0,9.26,36.4295,-94.2316
118,118,sao filipe,CV,22.98,74.0,0.0,2.6,14.8961,-24.4956
206,206,namioka,JP,23.75,17.0,0.0,7.2,40.7072,140.5894
233,233,san juan del sur,NI,26.09,78.0,0.0,5.6,11.2529,-85.8705
270,270,griffith,US,21.17,58.0,0.0,7.2,41.5284,-87.4237
308,308,nioro,GM,25.9,32.0,0.0,1.41,13.35,-15.75
316,316,gunjur,GM,22.04,60.0,0.0,2.06,13.2019,-16.7339
377,377,muskegon,US,21.95,49.0,0.0,9.77,43.3,-86.1334
473,473,seoul,KR,23.41,56.0,0.0,4.63,37.5683,126.9778
